特殊教育		医学,临床医学,医学院,医学常识,医学生,健身,性欲,健身,性欲,
	网易云	云计算,阿里云,国货,国产,新零售,知乎,知乎产品,云计算,阿里云,国货,国产,新零售,
电子游戏	北京	Unity（游戏引擎）,C++,C#,进化论,进化,生物学,带有假设的问题,脑洞（网络用语）,进化论,进化,生物学,带有假设的问题,脑洞（网络用语）,
广告	大花	职业发展,职场,转行,护士,护士职业发展,职业发展,职业选择,职业发展,职业选择,
临床医疗	医学	知乎,知乎社区,知乎使用,身份标识,优秀回答者（知乎功能）,
临床医疗	程骧	分手,范冰冰,如何看待/评价 X,图书馆,女生,男生,图书馆,女生,男生,
创意艺术	陈一丁	时尚,女性,包,潮流时尚,气质,五官,外貌协会,外貌,颜值,气质,五官,外貌协会,外貌,颜值,
汽车		上海,车祸,交通事故,驾驶,知乎,知乎社区,知乎使用,身份标识,优秀回答者（知乎功能）,上海,车祸,交通事故,驾驶,
广播电视	知行合一	中秋节,中央空调,风速,美的中央空调999元智惠大礼包,中央空调,风速,美的中央空调999元智惠大礼包,
广告		面膜,祛痘,基础护肤,美容护肤,医学美容,公务员,申论,公务员考试,行政职业能力测验,国家公务员考试,公务员,申论,公务员考试,行政职业能力测验,国家公务员考试,
互联网	幻觉365	苹果公司 (Apple Inc.),如何看待/评价 X,新闻事件,如何看待/评价 X,新闻事件,
	北京	礼物,性别差异,​男性主义,性别平等,直女审美,心理学,女性,男性,爱情,忠诚,心理学,女性,男性,爱情,忠诚,
通信	天津	NBA,NBA 交易,NBA 球员,军事,子弹,第二次世界大战,二战历史,极简二战史（书籍）,军事,子弹,第二次世界大战,二战历史,极简二战史（书籍）,
临床医疗	那时年少春衫薄	美食,烹饪,炒菜,美味,烹饪技巧,心理学,P2P,网络钓鱼诈骗,贷款,欠款,心理学,P2P,网络钓鱼诈骗,贷款,欠款,
高等教育	将作于少监	古埃及,犹太人,以色列,模拟联合国,中东历史,印度,印度教,伊朗伊斯兰共和国,建筑史,印度,印度教,伊朗伊斯兰共和国,建筑史,
	周东枝	宠物,植物,植物种植,园艺,植物辨识,植物学,植物,植物种植,园艺,植物辨识,植物学,
	噜噜噜	化妆品,国货,彩妆,基督教,宗教,基督教,宗教,
	苏宁大狮兄	校园招聘,招聘,秋招,知乎,知乎产品,校园招聘,招聘,秋招,
互联网	深圳市	减肥,节食,暴食,减肥经验,饮料,啤酒,功能性饮料,饮料,啤酒,功能性饮料,
创意艺术	杭州	食物,蔬菜,生活常识,恋爱,女朋友,男朋友,恋爱经历,个人情感咨询,恋爱,女朋友,男朋友,恋爱经历,个人情感咨询,
	精读君	知乎,知乎产品,
互联网	intoae	市场推广,网络推广,线下活动,活动运营,互联网推广,电子商务运营,市场研究,电影,调查类问题,影视,电影推荐,集贤论影,电影,调查类问题,影视,电影推荐,集贤论影,
高等教育	上海	导弹,弹道导弹,巡航导弹,导弹,弹道导弹,巡航导弹,
医疗服务	芋头	健康,生活,眼睛,视力保健,知乎,知乎产品,健康,生活,眼睛,视力保健,
	英国	女性,避孕药,女性生理科,多囊卵巢综合征,雄激素,Pages（软件）,恢复文件,Pages（软件）,恢复文件,
		军事,第二次世界大战,二战德国,海因茨·古德里安,德国军事,苏联,第二次世界大战,二战德国,苏德战争,二战历史,苏联,第二次世界大战,二战德国,苏德战争,二战历史,
	太上老鬼	育儿,宝宝,宝宝发烧,育儿知识,育儿经验,
互联网	纽约	以用户为中心的设计,交互设计,用户界面设计,隐喻,互联网产品,微信,交互设计,互联网产品设计,用户界面设计,互联网产品,微信,交互设计,互联网产品设计,用户界面设计,
资本投资	现居魔都陆家嘴	房地产,杭州,金融,贷款,炒房,经济,企业,金融,企业社会责任（CSR）,经济,企业,金融,企业社会责任（CSR）,
互联网	北京	手机游戏,手游运营,明日方舟,手机游戏,讨论,杂谈,少女前线,硬核游戏,手机游戏,讨论,杂谈,少女前线,硬核游戏,
餐饮	湖北省	生活,城市,文化,经济,武汉,知乎,知乎社区,知乎使用,身份标识,优秀回答者（知乎功能）,生活,城市,文化,经济,武汉,
互联网	海淀区	军人,军官,跑步,运动损伤,膝盖,跑步,运动损伤,膝盖,
创意艺术	伦敦（Greater London）	电影,奥斯卡,影视评论,圣丹斯电影节,海边的曼彻斯特（电影）,生活,人生,幸福,恋爱,X 是种怎样的体验,生活,人生,幸福,恋爱,X 是种怎样的体验,
家具	北京	互联网,当当网,李国庆（人物）,俞渝（人物）,知乎,知乎产品,互联网,当当网,李国庆（人物）,俞渝（人物）,
创意艺术	尼堪巴图鲁	健身,肌肉,黑人,健身,肌肉,黑人,
互联网	北京	流行音乐,歌手,日本音乐,椎名林檎,日本流行音乐（J-Pop）,幽默,生物学,生殖崇拜,家庭伦理,封建迷信,幽默,生物学,生殖崇拜,家庭伦理,封建迷信,
	朝阳区	Netflix,英剧,黑镜 Black Mirror（系列剧）,黑镜 第四季（英剧）,同性恋,调查类问题,男同性恋,同性恋,调查类问题,男同性恋,
艺术娱乐	北京	假唱,音乐剧,韩雪（演员）,娱乐圈,假唱,音乐剧,韩雪（演员）,娱乐圈,假唱,音乐剧,韩雪（演员）,
		生活,文学,段子,人民的名义（电视剧）,人民的名义（电视剧）,
互联网	北京	前端开发,知乎用户,程序员,编程学习,知乎,知乎产品,前端开发,知乎用户,程序员,编程学习,
	魔都	明朝,明朝历史,明代历史人物,明朝,清朝,资本主义,明朝,清朝,资本主义,
畜牧养殖业		历史,地图,哔哩哔哩,历史地图,历史,地图,哔哩哔哩,历史地图,
	波士顿	艺术,考研,艺术史论,考研复习,调查类问题,男性心理,恋爱,失恋,调查类问题,男性心理,恋爱,失恋,
护理服务	非鱼	狗粮,狗粮,
	北京	环境保护,政策,垃圾处理,垃圾分类,电子竞技,星际争霸 2,英雄联盟（LoL）,薪酬待遇,刀塔（DOTA 2）,电子竞技,星际争霸 2,英雄联盟（LoL）,薪酬待遇,刀塔（DOTA 2）,
互联网	北京	基础护肤,洁面产品,皮肤,美容护肤,美食,湖南,四川,辣椒,美食,湖南,四川,辣椒,
互联网	北京	芯片（集成电路）,芯片设计,手机,Android 手机,第五代移动通信（5G）,华为手机,华为 Mate 30 Pro,手机,Android 手机,第五代移动通信（5G）,华为手机,华为 Mate 30 Pro,
	陈佩斯	艺术,话剧,喜剧,小品,陈佩斯,知乎,知乎产品,艺术,话剧,喜剧,小品,陈佩斯,
互联网	上海	移动应用,微信公众帐号,微信小程序,二手交易,淘宝闲鱼,二手交易,淘宝闲鱼,
	墨脱要开	衣服,服饰,夏季,服饰搭配,头发,洗发水,美发护发,养头发,头发护理,头发,洗发水,美发护发,养头发,头发护理,
互联网		互联网,百度,股票,激励机制,国货,天猫,跨界,2019双十一,国货,天猫,跨界,2019双十一,
法律	合肥	婚姻,恋爱,交通安全,礼金,彩礼,知乎,知乎产品,婚姻,恋爱,交通安全,礼金,彩礼,
信息传媒	深圳市	商业价值,价值,美国,美元,互联网金融,金融,区块链(Blockchain),美国,美元,互联网金融,金融,区块链(Blockchain),
金融	进击的外汇作手	股票,期货,交易,交易系统,股指期货,期货,操盘手,交易员,期货,操盘手,交易员,
互联网	广州市	购物,调查类问题,购物推荐,「双十一」购物狂欢节,消费电子产品,耳机,电子产品,数码产品,2019双十一,消费电子产品,耳机,电子产品,数码产品,2019双十一,
体育健身	北京	身体健康,健康,疾病,医生,医院,健康,疾病,医生,医院,
广告	湖南省	阅读,文学,诗歌,诗词,古诗,小说,文学,武侠小说,金庸,古龙,小说,文学,武侠小说,金庸,古龙,
博彩	李逍遥	投资,股票,炒股,文化差异,美国,留学,国外生活,文化差异,美国,留学,国外生活,
互联网	旧金山湾区	算法,计算机科学,数据结构,计算机图形学,求职,程序员,求职,程序员,
互联网	北京	哆啦A梦（朝日电视台改编动画作品）,野比大雄,源静香,知乎,知乎产品,哆啦A梦（朝日电视台改编动画作品）,野比大雄,源静香,
	北京	演员,演技,影视演员,知乎,知乎产品,演员,演技,影视演员,
科研	北京	点心,奶酪,烘焙,知乎,知乎社区,知乎使用,身份标识,优秀回答者（知乎功能）,点心,奶酪,烘焙,
	鲨鱼辣椒	游戏,绝地求生（PUBG）,绝地求生：刺激战场（手机游戏）,骚扰电话,电话销售,电话营销,神回答,脑洞（网络用语）,骚扰电话,电话销售,电话营销,神回答,脑洞（网络用语）,
高新科技	深圳市	iPhone,工业设计,产品设计,苹果公司 (Apple Inc.),iPhone 11,知乎,知乎社区,知乎使用,身份标识,优秀回答者（知乎功能）,iPhone,工业设计,产品设计,苹果公司 (Apple Inc.),iPhone 11,
创意艺术	非洲	前女友,前任恋人,知乎,知乎产品,前女友,前任恋人,
	纽约	歌词,搞笑,押韵,脑洞（网络用语）,学习,生活,心理学,成长,自我,学习,生活,心理学,成长,自我,
	物理学	化学,诺贝尔奖,诺贝尔化学奖,2019 年诺贝尔奖,知乎,知乎产品,化学,诺贝尔奖,诺贝尔化学奖,2019 年诺贝尔奖,
广播电视	香港	创业,高效工作,职业发展,商业,注意力,知乎,知乎产品,创业,高效工作,职业发展,商业,注意力,
	温和派小哥哥	火影忍者（动画）,日本动漫,火影忍者疾风传,书籍推荐,阅读,历史,国学,历史人物,书籍推荐,阅读,历史,国学,历史人物,
地产建筑	华中科技大学	建筑师,建筑,演员,江一燕,知乎,知乎社区,知乎使用,身份标识,优秀回答者（知乎功能）,建筑师,建筑,演员,江一燕,
	淑淑淑芬芬芬	心理健康,大学食堂,黄晓明,综艺,芒果TV,中餐厅 第三季（综艺）,迷惑行为,黄晓明,综艺,芒果TV,中餐厅 第三季（综艺）,迷惑行为,
	李修远	蔡康永,综艺,马东,李诞,奇葩说 第六季（综艺）,电影,影视评论,易烊千玺,周冬雨（演员）,少年的你（电影）,电影,影视评论,易烊千玺,周冬雨（演员）,少年的你（电影）,
	如子留学	俄罗斯,留学俄罗斯,俄罗斯大学,知乎,知乎产品,俄罗斯,留学俄罗斯,俄罗斯大学,
电子游戏	地球	游戏,Steam,哔哩哔哩,敖厂长,大圣归来（游戏）,家用主机游戏,游戏开发,游戏产业,家用游戏机,掌上游戏机,家用主机游戏,游戏开发,游戏产业,家用游戏机,掌上游戏机,
互联网	上海	健身,减肥,调查类问题,胖子,职场,人际交往,初入职场,交际沟通,职场人际,职场,人际交往,初入职场,交际沟通,职场人际,
法律	刘焱	学习,生活,教育,调查类问题,高中,法律,律师,律师职业发展,实习律师,法律,律师,律师职业发展,实习律师,
	万门大学	学习,软件,学习方法,高效学习,学习工具,知乎,知乎产品,学习,软件,学习方法,高效学习,学习工具,
互联网	上海市	美食,烹饪,知乎,知乎社区,知乎使用,身份标识,优秀回答者（知乎功能）,美食,烹饪,
	Vincent Vlog	摄影,视频制作,风景,春天来啦,有奖视频挑战赛,摄影,新员工入职,设计思路,摄影,新员工入职,设计思路,
互联网	北京	联合创始人,纪录片,Netflix,贸易战,美国工厂（纪录片）,纪录片,Netflix,贸易战,美国工厂（纪录片）,
金融	成都	NBA,NBA 球员,NBA 季前赛,NBA 文化,亚当·萧华,娱乐圈,娱乐八卦,明星八卦,奚梦瑶,娱乐圈,娱乐八卦,明星八卦,奚梦瑶,
法律		犯罪,犯罪心理学,杀人,杀人回忆（电影）,犯罪学,犯罪,犯罪心理学,法医学,刑事侦查,罪犯,犯罪,犯罪心理学,法医学,刑事侦查,罪犯,
	北京	用户体验,知识库,人机交互,交互设计,十万个是什么,人机交互,计算机,交互设计,科技,智能硬件,人机交互,计算机,交互设计,科技,智能硬件,
	全民故事计划	八卦新闻,情感,故事,调查类问题,生活经历,知乎,知乎产品,八卦新闻,情感,故事,调查类问题,生活经历,
信息传媒	中国	小说,写作,脑洞（网络用语）,以 X 为开头写作,写一个故事（知乎周刊）,知乎,知乎产品,小说,写作,脑洞（网络用语）,以 X 为开头写作,写一个故事（知乎周刊）,
旅游	北京	生活经历,财富,土豪,知乎,知乎产品,生活经历,财富,土豪,
图书馆		中国历史,传统文化,中国社会,贵族,生活,心理学,道德,社会学,社会,生活,心理学,道德,社会学,社会,
	文森特	银行,银行,招聘,工作,大数据,国企 职场,银行,招聘,工作,大数据,国企 职场,
非营利组织	李子衿	互联网,世纪佳缘,百合网,催婚,婚恋交友,演员,演技,影视演员,演员,演技,影视演员,
互联网	北京	儿童,成长,儿童心理,三观,带有假设的问题,三观,带有假设的问题,
人力资源	杭州	法律,美国,犯罪,黑人,美国法律,视频,电视剧,短视频,视频,电视剧,短视频,
	尤魅	NBA,篮球,格雷格·波波维奇（Gregg Popovich）,亚当·萧华,健身,身材,健美,过誉,彭于晏,健身,身材,健美,过誉,彭于晏,
	艺伴美术教育	绘画,美术,手绘,素描,知乎,知乎产品,绘画,美术,手绘,素描,
	北京	驾驶技术,驾驶经验,性别差异,女性生理,女司机,管理,企业管理,员工,90 后,管理,企业管理,员工,90 后,
幼儿教育		分手,恋爱,前男友,前任恋人,复合,知乎,知乎产品,分手,恋爱,前男友,前任恋人,复合,
法律	深圳市	游戏,英雄,英雄联盟,英雄联盟英雄角色,美剧,女性,热门问答,致命女人（美剧）,美剧,女性,热门问答,致命女人（美剧）,
旅游	南京市	清朝,中国近代史,晚清,晚清史,不平等条约,历史,军事,冷知识,世界历史,历史事件,历史,军事,冷知识,世界历史,历史事件,
金融	Dealer，Analyst	文化,国学,人物评价,文学,南怀瑾,经济,中国经济,美元,国债,美国国债,经济,中国经济,美元,国债,美国国债,
	知乎读书会	经济,中国经济,市场经济,知乎,知乎产品,经济,中国经济,市场经济,
	国际红色通讯	国家,国家,
	九万里陈一草	iPhone,华强北在线,消费心理,二手交易,商品,交易,二手货,消费心理,二手交易,商品,交易,二手货,
	华家池之猫	游戏,道德,单机游戏,虚拟世界,规则,导弹,世界格局,弹道导弹,战略导弹,导弹,世界格局,弹道导弹,战略导弹,
餐饮	洛杉矶	香港,经济,国际关系,一国两制,知乎,知乎产品,香港,经济,国际关系,一国两制,
	广州市	鲁珀特·默多克,邓文迪,电影,影视评论,动漫,中国动画,哪吒之魔童降世（动画电影）,电影,影视评论,动漫,中国动画,哪吒之魔童降世（动画电影）,
计算机软件	旧金山湾区	互联网,求职,加班,IT 行业,欧美,科研,学术,研究生,博士,高校,科研,学术,研究生,博士,高校,
互联网	上海	投资,个人理财,互联网金融,P2P 网络借贷平台,情感,个人理财,金融,余额宝,互联网理财,情感,个人理财,金融,余额宝,互联网理财,
咨询分析	福州	两性关系,两性情感,学习,思维,学习方法,个人成长,学习经验,学习,思维,学习方法,个人成长,学习经验,
科研	法国	自然科学,科技,科研,科学,知乎科学季,知乎,知乎产品,自然科学,科技,科研,科学,知乎科学季,
互联网	上海	女生,恋爱,追求女孩,爱情观,恋爱心理,虚拟货币,比特币 (Bitcoin),区块链(Blockchain),比特币市值,币圈,虚拟货币,比特币 (Bitcoin),区块链(Blockchain),比特币市值,币圈,
	Mia Lee	生理学,外貌,身体结构,艺术,音乐剧,迪士尼乐园,上海迪士尼度假区,美女与野兽（音乐剧 ）,艺术,音乐剧,迪士尼乐园,上海迪士尼度假区,美女与野兽（音乐剧 ）,
	chenqin	分娩,房地产,人口,计划生育,中国人口,知乎,知乎社区,知乎使用,身份标识,优秀回答者（知乎功能）,分娩,房地产,人口,计划生育,中国人口,
林业	昆仑山 昆仑阁	文学,江西,作家协会,中国历史,历史,三国,曹操,中国历史,历史,三国,曹操,
高等教育	北京	学习,健康,睡眠,清华大学,生活作息,知乎,知乎产品,学习,健康,睡眠,清华大学,生活作息,
信息传媒	北京	阅读,写作,读书方法,写作能力,写作思维,知乎,知乎产品,阅读,写作,读书方法,写作能力,写作思维,
	北京市	焦虑症,焦虑,神经官能症,知乎,知乎产品,焦虑症,焦虑,神经官能症,
证券投资	期货交易操盘笔记	趋势,期货,交易系统,操盘手,期货交易,期货,交易,投机,交易员,期货交易,期货,交易,投机,交易员,期货交易,
咨询分析	北京	娱乐圈,娱乐八卦,明星八卦,奚梦瑶,娱乐圈,韩国娱乐圈,娱乐圈,韩国娱乐圈,
	阿里巴巴	马云（人物）,教育,高等教育,基础教育,教育资源,知乎,知乎产品,马云（人物）,教育,高等教育,基础教育,教育资源,
	杜绍斐	男装,男士发型,男生着装,男装搭配,男生发型,时尚,男装,男士,男士香水,服饰搭配,时尚,男装,男士,男士香水,服饰搭配,
公共管理	中国	冰箱,悬疑,脑洞（网络用语）,以 X 为开头写作,知乎,知乎产品,冰箱,悬疑,脑洞（网络用语）,以 X 为开头写作,
互联网	旧金山 (San Francisco)	相亲,婚恋观,编程语言,编程,开发者,Rust（编程语言）,字节跳动（ByteDance）,编程语言,编程,开发者,Rust（编程语言）,字节跳动（ByteDance）,
艺术娱乐	北京	电影,导演,演员,表演,知乎,知乎产品,电影,导演,演员,表演,
	何南野	注册会计师（CPA）,会计,特许公认会计师公会（ACCA）,会计师,美国注册管理会计师（CMA）,研究生,注册会计师（CPA）,考研咨询,全日制研究生,研究生,注册会计师（CPA）,考研咨询,全日制研究生,
	华为	游戏,政治,经济,未来,互联网＋,知乎,知乎产品,游戏,政治,经济,未来,互联网＋,
高等教育	刚果布拉柴维尔十四种口味冰激凌店	文学,诗词,古诗,中国古代文学,李贺,知乎,知乎产品,文学,诗词,古诗,中国古代文学,李贺,
	CSDN	知乎,知乎产品,
互联网	北京	互联网,NBA,休斯顿火箭（Houston Rockets）,亚当·萧华,达雷尔·莫雷（Daryl Morey）,软件,软件推荐,手机软件,Zepeto,软件,软件推荐,手机软件,Zepeto,
	大头	相声,郭德纲,德云社,岳云鹏,郭麒麟,
互联网	生酮营养师	减肥,身体,减肥方法,生酮饮食,食品营养,营养,食品营养,营养,
图书馆		电影,迪士尼（The Walt Disney Company）,迪士尼公主,小美人鱼（真人电影）,
	明镜磨心	支付宝,花呗,蚂蚁借呗,军队,军人,部队训练,中国人民解放军‭,军队,军人,部队训练,中国人民解放军‭,
教育	上海	智能手机,商业,华为手机,定价策略,PPP（点对点协议）,PPP（公私合营模式）,PPP（点对点协议）,PPP（公私合营模式）,
	马桶猪	当代艺术,教育,裸,人体艺术,四川美术学院,博物馆,文化,经济,改革,经营,博物馆,文化,经济,改革,经营,
	包头市	生活,茶叶,茶叶销售,中国茶艺,品茶,茶文化,茶具,茶与健康,中国茶艺,品茶,茶文化,茶具,茶与健康,
	烘焙帮	健康,生活,早餐,菜谱,上班,知乎,知乎产品,健康,生活,早餐,菜谱,上班,
互联网	上海市	微博,广告,网络营销,传媒,诈骗,互联网,微博,广告,广告投放,互联网,微博,广告,广告投放,
	田浩	动物,动物求生,动物行为,动物科普,动物心理学,法律,心理学,教育,犯罪,校园暴力,法律,心理学,教育,犯罪,校园暴力,
	肆大财子	人力资源（HR）,职业规划,五险一金,社会保险,人事,知乎,知乎产品,人力资源（HR）,职业规划,五险一金,社会保险,人事,
	煮鹤	建议,忠告,少年,18 岁,人种,混血,混血儿,人种,混血,混血儿,
策展	上海	教育,中学生,教育局,知乎,知乎产品,教育,中学生,教育局,
互联网	北京	电视,智能电视,电视选购,拼多多,房地产,城镇化,房地产,城镇化,
非营利组织	地球	美国,黄西,美国,黄西,
教育	深圳市	知乎,互联网,社交网络,知乎社区,社交问答,汽车,交通,汽车,交通,
基础教育	荷锄之垄	教师,中小学教师,微信,儿童教育,孩子,教师,熊孩子,微信,儿童教育,孩子,教师,熊孩子,
计算机软件	西安	自行车,交通,骑行,转弯,交通法规,自行车,交通,骑行,转弯,交通法规,
	网易看客	互联网,生活,故事,生活经历,职场,知乎,知乎产品,互联网,生活,故事,生活经历,职场,
	cookie jar	地铁,双肩包,两性关系,个人情感咨询,两性关系,个人情感咨询,
互联网	青岛	程序员,Python,数据,计算机网络,爬虫 (计算机网络),编程,少儿教育,特长培训,编程,少儿教育,特长培训,
互联网		互联网,当当网,李国庆（人物）,俞渝（人物）,当当网,情感,李国庆（人物）,夫妻,俞渝（人物）,当当网,情感,李国庆（人物）,夫妻,俞渝（人物）,
化工业	广州市	淘宝网,购物,天猫,「双十一」购物狂欢节,2019双十一,知乎,知乎产品,淘宝网,购物,天猫,「双十一」购物狂欢节,2019双十一,
金融	深圳市	时尚,发型,女生,美妆,外貌,香港,机场,记者,环球时报,香港,机场,记者,环球时报,
金融	哈尔滨佛学院	利息,欠款,贷款利息,谈判技巧,法律服务,律师行业,知识付费,谈判技巧,法律服务,律师行业,知识付费,
高新科技	北京	经济学,比特币 (Bitcoin),莱特币 (Litecoin),区块链(Blockchain),数字货币,计算机,计算机科学,比特币 (Bitcoin),比特币矿池,数字货币交易平台,计算机,计算机科学,比特币 (Bitcoin),比特币矿池,数字货币交易平台,
互联网	伦敦市（City of London）	中国足球,足球,中国国家男子足球队,2022 年卡塔尔世界杯,世界杯预选赛,知乎,知乎产品,中国足球,足球,中国国家男子足球队,2022 年卡塔尔世界杯,世界杯预选赛,
	半灵sama	天才,英国历史,如何看待/评价 X,如何评价知乎用户xx,历史,政治,演讲,军事,战争,历史,政治,演讲,军事,战争,
	冯镫毅	婚姻,家庭,女性,单身,社会,
	扬云飞	苏联,斯大林,苏联克格勃,苏联历史,国际关系,国际政治,欧洲,乌克兰,东欧,国际关系,国际政治,欧洲,乌克兰,东欧,
培训	广州市	育儿,儿童教育,品德,儿童心理,天性,两性关系,聊天,男性魅力,社交技巧,恋爱技巧,两性关系,聊天,男性魅力,社交技巧,恋爱技巧,
	朝阳区	新闻,生活,调查类问题,人生,社会,社会,社会,
互联网	北京	印度,人口,经济学,计划生育,人口经济学,微软（Microsoft）,管理,谷歌 (Google),印度人,微软（Microsoft）,管理,谷歌 (Google),印度人,
教育	北京	女生,男生,男生女生,恋爱中,男女相处,大学生活,恋爱,贫穷,大学恋爱,家境,大学生活,恋爱,贫穷,大学恋爱,家境,
军火	Gotterdammerung	圣经,基督教,唯心主义（Idealism）,唯物主义（Materialism）,圣经,基督教,唯心主义（Idealism）,唯物主义（Materialism）,
房地产	昆明市盘龙区北京路延长线龙江雅苑	互联网,中国人,礼仪,欧洲贵族文化,田朴珺,两性关系,搏击项目,综合格斗,两性关系,搏击项目,综合格斗,
法律	东方秦	小说,中国古代历史,古风,历史,中国古代历史,北魏,历史,中国古代历史,北魏,
金融	辽宁沈阳	军事,空军,导弹,轰炸机,军事装备,军事,空军,导弹,轰炸机,军事装备,
临床医疗	江苏	生活,心理,体质,搞笑,脑洞（网络用语）,知乎,知乎产品,生活,心理,体质,搞笑,脑洞（网络用语）,
	广州市	男生,男生看待女生,男生女生,养猫,养猫,
	孙绿	中国历史,历史,地理,军事,战争,历史,语言,交流,历史,语言,交流,
非营利组织	葡萄牙	程序员,公务员,研究生,一线城市,25岁,旅行,旅行攻略,国内旅游,热门旅游目的地,哈尔滨旅游,旅行,旅行攻略,国内旅游,热门旅游目的地,哈尔滨旅游,
计算机软件	悉尼 (Sydney)	程序员,编程语言,编程,Lisp,计算理论,程序员,编程,C（编程语言）,编译器,计算机语言,程序员,编程,C（编程语言）,编译器,计算机语言,
互联网	北京	健身,体育,搏击项目,综合格斗,巴西柔术,
汽车	鬼木知	学习,心理学,思维,高效学习,思维方式,表白,表白被拒,表白失败,表白,表白被拒,表白失败,
法律	南昌	法律,日本,战争,中国近代史,战争赔款,知乎,知乎社区,知乎使用,身份标识,优秀回答者（知乎功能）,法律,日本,战争,中国近代史,战争赔款,
		历史,战争,骑兵,战争史,全面战争：帝国（游戏）,人物评价,如何看待/评价 X,如何评价知乎用户xx,人物评价,如何看待/评价 X,如何评价知乎用户xx,
